[2026-08-04 17:11:40] [INFO] dicebot.mod_loader: 加载Mod: dicebot-mod v2.1.0 — 骰娘动态掷骰Mod (FastAPI)
[2026-08-04 17:11:40] [INFO] dicebot.mod.dicebot-mod: 骰娘动态掷骰Mod 已注册 (FastAPI: http://localhost:8001)
[2026-08-04 17:11:40] [INFO] dicebot.mod.dicebot-mod:   状态: /api/mod/dicebot-mod/status
[2026-08-04 17:11:40] [INFO] dicebot.mod.dicebot-mod:   启动: POST /api/mod/dicebot-mod/start
[2026-08-04 17:11:40] [INFO] dicebot.mod.dicebot-mod:   掷骰: POST /api/mod/dicebot-mod/roll
[2026-08-04 17:11:40] [INFO] dicebot.mod_loader:   路由已注册: /api/mod/dicebot-mod
[2026-08-04 17:11:40] [INFO] dicebot.mod_loader: Mod加载成功: dicebot-mod
[2026-08-04 17:11:40] [INFO] dicebot.mod_loader: 加载Mod: example-hello v1.0.0 — 示例Mod - Hello
[2026-08-04 17:11:40] [INFO] dicebot.mod_loader:   路由已注册: /api/mod/example-hello
[2026-08-04 17:11:40] [INFO] dicebot.mod_loader: Mod加载成功: example-hello
[2026-08-04 17:11:40] [INFO] dicebot: Flask 请求日志中间件已安装
[2026-08-04 17:11:40] [INFO] dicebot: 尘封之卷 Web 服务器启动中...
[2026-08-04 17:13:52] [INFO] dicebot: [GET] /api/characters → 200 (0.1ms) IP=127.0.0.1 UA=?
[2026-08-04 17:13:52] [INFO] dicebot: [GET] /api/dm-status → 200 (0.1ms) IP=127.0.0.1 UA=?
[2026-08-04 17:13:56] [INFO] dicebot: [GET] /ws → 200 (383.5ms) IP=127.0.0.1 UA=?
[2026-08-04 17:14:37] [INFO] dicebot: [GET] /api/characters → 200 (0.2ms) IP=127.0.0.1 UA=?
[2026-08-04 17:14:37] [INFO] dicebot: [GET] /api/dm-status → 200 (0.1ms) IP=127.0.0.1 UA=?
[2026-08-04 17:14:43] [INFO] dicebot: [POST] /api/room/join → 200 (0.5ms) IP=127.0.0.1 UA=?
[2026-08-04 17:14:43] [INFO] dicebot: [GET] /api/characters → 200 (2.7ms) IP=127.0.0.1 UA=?
[2026-08-04 17:14:46] [INFO] dicebot: [GET] /api/chat/messages → 200 (0.2ms) IP=127.0.0.1 UA=?
[2026-08-04 17:14:46] [INFO] dicebot: [POST] /api/room/heartbeat → 200 (0.1ms) IP=127.0.0.1 UA=?
[2026-08-04 17:14:48] [INFO] dicebot: [POST] /api/chat/send → 200 (1.1ms) IP=127.0.0.1 UA=?
[2026-08-04 17:14:48] [INFO] dicebot: [GET] /api/chat/messages → 200 (0.4ms) IP=127.0.0.1 UA=?
[2026-08-04 17:14:49] [INFO] dicebot: [GET] /api/chat/messages → 200 (0.2ms) IP=127.0.0.1 UA=?
[2026-08-04 17:14:51] [INFO] dicebot: [GET] /api/chat/messages → 200 (0.1ms) IP=127.0.0.1 UA=?
[2026-08-04 17:14:51] [INFO] dicebot: [POST] /api/room/heartbeat → 200 (0.2ms) IP=127.0.0.1 UA=?
[2026-08-04 17:14:52] [INFO] dicebot: [GET] /api/chat/messages → 200 (0.1ms) IP=127.0.0.1 UA=?
[2026-08-04 17:14:52] [INFO] dicebot: [POST] /api/chat/send → 200 (1.3ms) IP=127.0.0.1 UA=?
[2026-08-04 17:14:52] [INFO] dicebot: [GET] /api/chat/messages → 200 (0.2ms) IP=127.0.0.1 UA=?
[2026-08-04 17:14:54] [INFO] dicebot: [GET] /api/chat/messages → 200 (0.2ms) IP=127.0.0.1 UA=?
[2026-08-04 17:14:55] [INFO] dicebot: [GET] /api/chat/messages → 200 (0.1ms) IP=127.0.0.1 UA=?
[2026-08-04 17:14:55] [INFO] dicebot: [GET] /api/chat/messages → 200 (1.0ms) IP=127.0.0.1 UA=?
[2026-08-04 17:14:57] [INFO] dicebot: [GET] /api/chat/messages → 200 (0.3ms) IP=127.0.0.1 UA=?
[2026-08-04 17:14:58] [INFO] dicebot: [GET] /api/chat/messages → 200 (0.1ms) IP=127.0.0.1 UA=?
[2026-08-04 17:14:58] [INFO] dicebot: [GET] /api/chat/messages → 200 (0.2ms) IP=127.0.0.1 UA=?
[2026-08-04 17:14:59] [INFO] dicebot: [POST] /api/room/heartbeat → 200 (0.2ms) IP=127.0.0.1 UA=?
[2026-08-04 17:15:00] [INFO] dicebot: [GET] /api/chat/messages → 200 (0.2ms) IP=127.0.0.1 UA=?
[2026-08-04 17:15:01] [INFO] dicebot: [GET] /api/chat/messages → 200 (0.2ms) IP=127.0.0.1 UA=?
[2026-08-04 17:15:01] [INFO] dicebot: [GET] /api/chat/messages → 200 (0.5ms) IP=127.0.0.1 UA=?
[2026-08-04 17:15:03] [INFO] dicebot: [GET] /api/chat/messages → 200 (0.2ms) IP=127.0.0.1 UA=?
[2026-08-04 17:15:04] [INFO] dicebot: [GET] /api/chat/messages → 200 (0.2ms) IP=127.0.0.1 UA=?
[2026-08-04 17:15:04] [INFO] dicebot: [GET] /api/chat/messages → 200 (0.1ms) IP=127.0.0.1 UA=?
[2026-08-04 17:15:06] [INFO] dicebot: [GET] /api/chat/messages → 200 (0.3ms) IP=127.0.0.1 UA=?
[2026-08-04 17:15:07] [INFO] dicebot: [GET] /api/chat/messages → 200 (0.1ms) IP=127.0.0.1 UA=?
[2026-08-04 17:15:07] [INFO] dicebot: [GET] /api/chat/messages → 200 (0.5ms) IP=127.0.0.1 UA=?
[2026-08-04 17:15:07] [INFO] dicebot: [POST] /api/room/heartbeat → 200 (0.1ms) IP=127.0.0.1 UA=?
[2026-08-04 17:15:09] [INFO] dicebot: [GET] /api/chat/messages → 200 (0.1ms) IP=127.0.0.1 UA=?
[2026-08-04 17:15:10] [INFO] dicebot: [GET] /api/chat/messages → 200 (0.2ms) IP=127.0.0.1 UA=?
[2026-08-04 17:15:10] [INFO] dicebot: [GET] /api/chat/messages → 200 (0.3ms) IP=127.0.0.1 UA=?
[2026-08-04 17:15:12] [INFO] dicebot: [GET] /api/chat/messages → 200 (0.2ms) IP=127.0.0.1 UA=?
[2026-08-04 17:15:13] [INFO] dicebot: [GET] /api/chat/messages → 200 (0.1ms) IP=127.0.0.1 UA=?
[2026-08-04 17:15:13] [INFO] dicebot: [GET] /api/chat/messages → 200 (0.4ms) IP=127.0.0.1 UA=?
[2026-08-04 17:15:15] [INFO] dicebot: [POST] /api/room/heartbeat → 200 (0.2ms) IP=127.0.0.1 UA=?
[2026-08-04 17:15:15] [INFO] dicebot: [GET] /api/chat/messages → 200 (0.5ms) IP=127.0.0.1 UA=?
[2026-08-04 17:15:16] [INFO] dicebot: [GET] /api/chat/messages → 200 (0.3ms) IP=127.0.0.1 UA=?
[2026-08-04 17:15:16] [INFO] dicebot: [GET] /api/chat/messages → 200 (0.3ms) IP=127.0.0.1 UA=?
[2026-08-04 17:15:18] [INFO] dicebot: [GET] /api/chat/messages → 200 (0.2ms) IP=127.0.0.1 UA=?
